115	neither satisfied nor dissatisfied	I usually have panic attacks so if I was to get off it would be nice for the driver to make sure I was OK.  Also later running times.
116	fairly dissatisfied	Bus driver didn't smile or talk apart from telling me the cost of the fare.
117	neither satisfied nor dissatisfied	The number one bus is a joke. Nine times out of ten it is always running late. There is room for improvement
118	very satisfied	Not to take so long
119	fairly dissatisfied	Bus turning up on time .  Bus not being overcrowded with people.  Stood next to door.
120	fairly dissatisfied	Heating. Very rattled journey.
121	very satisfied	n/a , very happy
122	very satisfied	Nothing. Thank you all. Keep up with the good work.
123	fairly satisfied	An updated timetable or live information online would be helpful for while the major roadworks are on. I take this bus every day and it varies from being on time, and up to 40 mins late.
124	very satisfied	Nothing - its perfect.
125	neither satisfied nor dissatisfied	The drivers are scruffy unhelpful their dress is some what to be desired the buses are frequently breaking down and sometimes don't turn up
126	fairly satisfied	On this particular journey was ok, but when I get the bus after school times, sometimes drivers ignore you, and let too many people on. So I am worried I won't be able to get my kids off safely.
127	fairly satisfied	Today was one of the rare good days travelling on the 350 as it was only ten minutes late.  Frequently people including the elderly and mums with young children end up waiting for up to an hour in which time three buses should have arrived and not one does.  I have frequently had to pay my childcare provider more fees because the 350 has caused me to be late collecting my children after work. It's a terrible, terrible service.
128	fairly satisfied	All special locations at the stop to be announced.
129	very satisfied	Satisfied
130	fairly dissatisfied	Better bus.
131	neither satisfied nor dissatisfied	Cleanliness. Running on time.
132	fairly satisfied	Speeding to the next stop then heavy breaking jolts all the passengers on bus.
133	neither satisfied nor dissatisfied	Punctuality on the 44/45 please.
134	fairly satisfied	The driver needs to shut up talking to colleagues. The bus was actually running late, yet still had a 3 minutes chat with the previous driver. Why?
135	fairly satisfied	More buses (79)on route after 18.00
136	fairly satisfied	I found 84 return too expensive!
137	neither satisfied nor dissatisfied	Cheaper
138	fairly satisfied	The Number 1 route at Broomhill is the only bus and I regularly stand at bus stop long periods because one or two do not turn up.
139	fairly dissatisfied	The bus arrive on time.
140	fairly satisfied	I live in Wecock and there could be at least two buses running on a Sunday and during the week at least one bus a day that goes straight through to Havant, also buses need better air conditioning during summer
141	very satisfied	Nothing every thing was good
142	very satisfied	Nothing could have been changed. Very satisfied.
143	very dissatisfied	Bus could have run on time.  Took same route, both directions on same day, both twenty plus minutes late.
144	fairly satisfied	Comfortable seats and next stop announcements and arrives quicker.
145	neither satisfied nor dissatisfied	In general bus drivers jerk and I have received shoulder injury due to this in the past. Please allow for elderly passengers
146	very satisfied	Nothing at all it was a pleasant journey.
147	fairly satisfied	A little more heat on the bus to dispel condensation. Arriving on time would have bean better.
148	fairly satisfied	Having to pay less for the bus journeys! Far too expensive for short trips!!
149	fairly satisfied	Allow passengers to sit before moving on.
150	fairly satisfied	Accurate real time info on app. It is very rarely correct. Sometimes it says bus has passed my stop before it has got there!
151	fairly satisfied	Daytime timetables for the number five are good but evening time tables if they could come 10 past the hour that would be great because a lot of people finish work on the hour and we have to wait at least 50 minutes for the bus to come to take us home
152	fairly satisfied	Make the bus come on time!!
153	very satisfied	An electronic display showing next stop.
154	fairly satisfied	Buses being on time.  More regular.  Shorter wait at Vanguard Park and Ride stop
155	fairly satisfied	Electronic display showing next stop because it is dark nights now, when travelling back home from work.  Hard to see where you are.
156	fairly satisfied	Need the driver to keep an eye on when seats are full, not to pull at stops and have people standing up.  If we crash the people standing up will get harmed as well as those who are seated.  It will be the driver who'd get the blame.
157	fairly satisfied	The electronic display at the bus stop showed the scheduled times , not the actual times.
158	fairly satisfied	Temperature on board - too hot.
159	fairly satisfied	There are too many bus stops on route down Saffron Lane.
160	fairly satisfied	Not applicable  to this particular journey - BUT very important to every driver to wait until passengers are actually seated. Bus jolts have caused a number of people to fall and be injured.
161	neither satisfied nor dissatisfied	Bus not being late
162	neither satisfied nor dissatisfied	I feel the service could of worked better around roads as I rely on public transport and sometimes need to travel to the hospital and need to get there on time.
163	very satisfied	Can't think of anything this bus service is really good
164	fairly satisfied	When the minibus go over the bump it's totally ridiculous - hurts you badly
165	fairly satisfied	If the buses were spaced further apart rather than ten minutes.
166	very satisfied	Nothing everything was perfect.
167	fairly satisfied	Said good morning to driver.  No response .  However the driver is not alone in this, others are the same .  Some drivers do not even look at passengers boarding , however the female drivers are much more pleasant.
168	fairly satisfied	On arrival at the stop, previous left the stop nearly 5 mins before advertised time, so, as I arrived, he had just pulled off
169	fairly satisfied	Smoother ride, access from upper deck at stops, access to upper deck at stop.
170	very satisfied	Bus service perfectly ok as it is at present.
171	fairly satisfied	Would like maybe one or two more no. 21 bus to go to the Valley as pensioners and disabled persons not able to walk up hills.
172	fairly satisfied	The driver was very heavy with the use of the brakes when it came to stopping for myself and wife he stopped more than a foot away from the kerb.  My wife did have difficulty alighting from the bus because of distance from the kerb and bus step.
173	fairly satisfied	Its poor that now that we have no shelter at or near the airport bus, people with cases wont have spare hands for umbrella and site is very exposed with no shelter or seats for elderly or infants.
174	very satisfied	A new bus!
175	fairly satisfied	The bus to arrive on time, less buses being randomly cancelled.
176	fairly satisfied	Noise of windows shaking
177	neither satisfied nor dissatisfied	Arrive on time , no delays or arriving too early
178	fairly satisfied	Some drivers don't say, in fact most drivers don't say anything, say hello or thanks.
179	very dissatisfied	This is not a true representation of this service as I thought it strange the bus arrived on time! Also could be quicker by missing Garforth out.
180	fairly satisfied	A double decker bus would have given more choice of seats and more space. Neighbouring passenger seemed unaware of need to afford me more space.
181	very satisfied	Nothing everything was fine
182	fairly satisfied	Otford has only two buses a day which allowed you to get home by bus. Old people have to stay in Sevenoaks. Two more buses a day would help.
183	fairly satisfied	They should tell all the drivers to be at the bus stop at right times.
184	very satisfied	Nothing thanks.
185	neither satisfied nor dissatisfied	Bus punctuality is atrocious every day at least one bus I get on is missed out and the ones that are generally If you complaint you are ignored or fobbed off.
186	fairly satisfied	To allow contactless debit card payments on bus.  The swift card is more of a nightmare than I understood when it was advertised .  Finding collection centres is tedious.
187	fairly satisfied	Too hot on buses.
188	fairly satisfied	Changing drivers take ages.
189	very satisfied	Nothing needed to be improved.
190	fairly satisfied	Bus was old and a bit shaky.
191	fairly dissatisfied	The driver didn't stop for me even though I was standing outside the shelter waiting for me bus, he stopped further on when someone obviously told him I was waiting at me stop. The improvement would be slowing down on approaching every stop to make sure not to miss anyone.
192	neither satisfied nor dissatisfied	The bus wasn't the normal purple line 87 bus, it was a yellow line single bus which are smaller
193	fairly dissatisfied	The bus should have shown up on time, instead of having two buses at the same time.   Have a reason why there is a delay.
194	fairly satisfied	Stopping closer to the kerb. Lowering bus without asking. Young men driver not to drive as if in a race track. It is very scary for disable
195	fairly satisfied	Drivers have more respect and stop treating some good some bad treat all of us. Feel  some. Love and respect more.
196	fairly satisfied	Fewer stops  and nicer bus (like other routes in Oxford ) NB cool day, in summer this bus is unbearable
197	very satisfied	We are grateful to our bus drivers for their care. Drivers in Sidmouth and area are mostly very helpful and kind. They are narrow streets to contend with.
198	neither satisfied nor dissatisfied	Time it takes to get out of bus station.
199	fairly satisfied	Many bus stops I use have live information that is not working regularly
200	fairly satisfied	Seats to sit down, it was crowded, need more X1 services.
201	fairly satisfied	Braking should be smooth not a last minute activity each stop. Some trips I feel like I have had my internal organs rearranged!
202	fairly satisfied	Just get the temperature right - if its cold then there is often no heating but in the summer its going full blast!
203	fairly satisfied	Frequent services after 18
204	fairly satisfied	More punctuality. In the morning journey the bus often doesn't turn up 06:36 service.
205	neither satisfied nor dissatisfied	The Y5 to Nottingham from Derby bus station was due at 17.25 and did not arrive until the next bus was due at approx 17.45. There was no information given about where the bus was or to expect delays although these kind of delays are very regular. When significant delays can be expected at particular times of day or during particular roadworks for example, there should be an obvious notice about this at bus stops/bus stations on the timetables or electronic screens.
206	very satisfied	Have poles on the front in the front to hold onto when getting off.
207	very satisfied	Only concern is how close the bus stop is to a busy main road - doesn't feel safe when large vehicles come past.
208	neither satisfied nor dissatisfied	Not have a paper map on the steering wheel and know where there going
209	very satisfied	good journey
210	neither satisfied nor dissatisfied	Turn up on time.
211	very satisfied	Very satisfied as it was.
212	very satisfied	Good driving.
213	fairly satisfied	Info about why the bus was late
214	fairly satisfied	Drivers on Stagecoach are rude ignorant.
215	fairly satisfied	Buses are old and often break down. On the upside they always provide a replacement bus but they do need upgrading.
216	fairly satisfied	That we didn't have a collision with a car.
217	neither satisfied nor dissatisfied	The amount of them gave not turned up, having to wait a couple of hours because no bus to arrive to pick up passengers?
218	very satisfied	nothing it was completely seamless
219	very satisfied	The bus driver is friendly.
220	very satisfied	Nothing everything was fine
221	neither satisfied nor dissatisfied	Tell the driver to make eye contact when putting bus pass on machine. Why are bus drivers so sad and unhappy?
222	fairly satisfied	Coming on time
223	fairly satisfied	All was good but you do not ask about Sunday services , evening services or services to the hospital and the time for clean electric buses is here now !
224	fairly satisfied	The pricing structure is unnecessarily complicated. Fare prices have increased well beyond inflation in recent years.
225	fairly satisfied	Some driver need to be more polite
226	very satisfied	No there was nothing to improve upon, excellent journey.
227	fairly dissatisfied	A better and quicker route to get from Shipley to Bradford.
228	very satisfied	No complaints.  Good service all round.  Some of the passengers should be better.  Bus employees first class.
229	very satisfied	It was all very satisfactory
230	fairly satisfied	The bus being on time
231	fairly satisfied	300 doesn't usually come quick.
232	fairly satisfied	Reliability of buses - tend to run very early or very late!
233	fairly satisfied	On the outwards journey from deanshanger (89) at 10.07, it didn't bother turning up. So bearing in my mind these buses only come once an hour. I had to stand and wait for 1 hour 20 mins for the 11.08 to come which came at 11.20. Being heavily pregnant this was not good for me and gave me some discomfort. This is happened all week at 10.08 which is not acceptable  on such a journey where the buses are not frequent.  I spoke with stage coach who didn't seem to care that this has happened all week and caused discomfort  to a lot of people.
234	fairly satisfied	Bus was very full so double decker on this route in daytime would help.
235	fairly dissatisfied	Bus should arrive on time.
236	very satisfied	Nothing to complain about
237	fairly satisfied	Bus smelt of urine.  Not very nice.
238	fairly satisfied	Don't let enormous buggies on as they block wheelchair access but they don't care. It's a me me me world.
239	fairly satisfied	Come more often.
240	neither satisfied nor dissatisfied	the buses should be on time and not 4/5 mins late
241	fairly satisfied	Sometime the bus just missing, it should be every fifteen minutes a bus so I did wait for thirty minutes for the bus, that's even not talking about on time or not, the bus just disappear.
242	very dissatisfied	Sunday Number 8 bus doesn't always turns up. It's never on time. Week days Number 8 bus morning don't always turn up and have to call a cab or wait.
243	fairly satisfied	There are no bus shelters in Favell Drive
244	fairly satisfied	The bus driver could have smiled and spoken to you. He looked miserable and not very welcoming
245	fairly satisfied	The happiness of the passengers! More serious in comparison to other buses I have used in UK and internationally. There is little room for improvement.
246	fairly satisfied	More space for elderly's' shopping, baby push chair and fold up walking aids.
247	very satisfied	No complaints.  Thanks for a pleasant journey
248	very dissatisfied	Far too packed. Dangerous as very busy route. This often occurs, two buses came  together . No seat available, seats too small.
249	fairly satisfied	If the bus did not take too long to come.
250	fairly satisfied	Waiting in town too long
251	very dissatisfied	need more 512 bus instead of 1 every 30 mins as 521 get one every 10 mins with brilliant bus company go past as 512 only get 1 only up Pillow Lane Halifax W Yorks
252	neither satisfied nor dissatisfied	Bus coming on time, its always mostly late which makes me late for lesson. Also need some sort of bus shelter because there's no cover from the rain and you get soaked.
253	neither satisfied nor dissatisfied	More comfortable seats on the newer buses. The seats height is so high I cant reach the floor! Making long journeys is uncomfortable. Would like a Sunday service + evenings too.
254	fairly dissatisfied	The amount of room you are given for a pushchair
255	fairly satisfied	On narrow residential road action taken to remove large vehicles making driving difficult for drivers.
256	fairly satisfied	The stand where I board the 156 is shared with the 320, as they both go to Ashton there is always confusion as to which queue I am in. If the 320 is late local people board the 156 which is a small bus and people going to Ashton have trouble getting on.
257	fairly satisfied	Buses never run on time.
258	fairly satisfied	Everything is pretty good
259	fairly satisfied	Buses to arrive on time and be regular.  Drivers to be polite as they are providing a service.  Smooth journey.
260	very satisfied	No need. Keep service like this and will all be happy.
261	very dissatisfied	The bus being on time and being enough room for my 2 year old son not to have to squeeze onto my lap
262	fairly satisfied	Condensation on the windows / Anti Bac would be good in winter.
263	very satisfied	None. Very good bus service. Better than 47
264	very satisfied	Nothing at all.
265	fairly satisfied	Cheaper fares and re-nationalisation of buses
266	fairly satisfied	On occasions it is too hot on the bus even during hot weather there was no air-con.
267	neither satisfied nor dissatisfied	There was a lady on the seat next to me who had her bag on my seat and didn't move it when I sat down even though there were no other seats available.
268	fairly satisfied	Like to see a circular bus around Redcar to go into the estates and wait here to get 63, gets crowded sometimes.
269	neither satisfied nor dissatisfied	Frequency of buses and turning up on time. Have waited forty plus minutes before for one bus.
270	very dissatisfied	It would help if bus was running to time.  App was saying it was running seven minutes late
271	neither satisfied nor dissatisfied	More bus route, weekends often bus route, cleanliness and condition of the inside of the bus, the length of time it took to board.
272	very dissatisfied	Not having to get off the bus mid journey because the driver was so late due to hold up. I understand the reason for it but it's useless if you have an appointment to keep and you allowed enough time to get to it. This is the second time it has happened
273	very satisfied	Nothing that I can think of, it was a very good park and ride service.
274	fairly satisfied	Long Ashton Park and Ride to be reinstated , traffic normally horrendous so left early today.
275	fairly satisfied	Re-fit the real time bus info display at Somerfield South. It was removed when the post was moved a few months ago. Also provide a text code.
276	neither satisfied nor dissatisfied	Bus has been rerouted through Rawtenstall adding 20 minutes to journey time this has caused considerable inconvenience
277	fairly satisfied	This is about 10A,10 buses in general I get on at Queens Square bus station and they are supposed to be every 6 minutes. This never happens I can be at that bus stop for 30 minutes or more this is at about 7:40am . This happens nearly everyday.
278	fairly satisfied	Heating on bus was a bit cold
279	neither satisfied nor dissatisfied	The X30 timings have been poor 10-20 minutes late only one bus to Chester per hour at our stop. Used to be 2 an hour X30 and 21. Also bus maintenance seems lacking as breakdowns etc. alarms, in cab wipers.
280	neither satisfied nor dissatisfied	Hand rails overhead to hold onto.
281	fairly dissatisfied	Driving way too slow
282	very satisfied	No comment to make.
283	very satisfied	Nothing. The journey was nice and easy.
284	fairly dissatisfied	The first bus 31X for example are very old! Heating should be given priority specially for the elderly. Bus fares are too expensive! Renewable energy should be embraced for cheaper fare, buses should be changed. Solar buses as alternative.
285	fairly satisfied	As I use a mobility scooter so I have to sit with my back to the driver.  Usually I can't see out of the window.
286	fairly satisfied	By the 51 bus coming earlier near from my house and number 11 bus come earlier as well in the morning
287	very satisfied	Fairy satisfied.
288	very satisfied	Nothing at all.
289	fairly dissatisfied	Not sure. Only main issue affecting journey was passengers.
290	fairly satisfied	Arrival times on the timetable at bus stop an actual shelter at the stop
291	neither satisfied nor dissatisfied	Bus late.
292	very satisfied	Nothing I was happy
293	very satisfied	Nothing. Best bus company I've rode with.
294	fairly satisfied	Better wifi connection
295	fairly satisfied	Lower ticket prices for day passes purchased on the bus. Why do you financially disadvantage those of us who don't have a smartphone + use cash.
296	fairly satisfied	Buses not reliable and do not keep to timetable. Supposed to arrive every 10 minutes but they don't.
297	fairly satisfied	Times don't match the timetable, online or bus arrival. Display sometimes shows buses that don't even show up.
298	fairly satisfied	Time it took.  Temperature in bus as hot when full.
299	very satisfied	Nothing could have been improved, very good journey, today.
300	neither satisfied nor dissatisfied	The 487 needs more seats or a double decker bus because it is always rammed coming back from town. I get off one of the last stops but sometimes find myself standing as there are so many people on the bus already when I first get on. Journey times also need taking into consideration because it should only take 40 minutes from my usual stop home but took 50 as of traffic. This doesn't really bother me but would suggest trying to reduce the route so that people from my area, which is furthest away, get a more efficient service.
301	fairly satisfied	Having a ban of people eating and drinking whilst on board the bus plus litter from drinks and food being left on seats and floors. Drink bottles and cans are always seen rolling from side to side on the floor with coffee plus coke etc. leaking out of them.
302	fairly satisfied	Better heating system on the bus, (was too cold)
303	fairly satisfied	Like more women drivers - help the atmosphere
304	very satisfied	Absolutely nothing.
305	neither satisfied nor dissatisfied	Sort out this route in general. Make buses turn
306	very satisfied	Nothing really
307	fairly satisfied	Temperature - it was colder than I wanted. Tidiness - a lot of passengers got off before I got on that had left litter from make-up products.
308	fairly satisfied	Newer buses.  This bus actually had padded seats.  Some of the buses on this route only have padded wooden seats.
309	fairly satisfied	More seats or having double decker
310	fairly dissatisfied	Slower braking and pleasant driver.
311	fairly satisfied	Electronic sign at bus stop saying when bus was coming
312	fairly satisfied	Was going to meet friends for dinner, so very low stress experience  in general and not totally bothered about journey time.
313	fairly satisfied	The length of time it takes drivers to punch in details for a ticket.
314	fairly satisfied	Braking before stops.
315	fairly satisfied	Putting a newer model bus on this route
316	fairly satisfied	At 4:10pm is ridiculous today having a single decker bus due to school children quite a few of us elderly people who no longer have our half past the hour from the bus station from Grantham, having to get on the Lincoln bus. When I needed to get off with my trolley, staggered to get by standing school children and I do this journey twice a week - 2:00pm bus weekdays and 10:00am Saturday .
317	fairly satisfied	Digital timetable working as I didn't know a bus was cancelled .  Waited an extra ten minutes for the bus to be late.
318	fairly satisfied	Only 1 bus serves Southend to Basildon going through Wickford and does not have direct route to Basildon Hospital anymore.
319	fairly satisfied	To have a bus earlier. So I can get at bus to work before 8am
320	fairly satisfied	No need for improvement - other than running to timetable/schedule.
321	very dissatisfied	Unfortunately all my experiences of the Evesham to Worcester buses (over the years) I don't rate it at all. The attitude of the drivers are absolutely disgusting. The buses don't always turn up and then when they do they never leave on time and are always leaving late. The treatment to their customers are bloody awful, Attitude of a driver.
322	neither satisfied nor dissatisfied	Time for the bus to arrive at least 1 hour. RUBBISH.
323	neither satisfied nor dissatisfied	Fewer passengers.
324	fairly satisfied	Slow down the speed of which the guided bus have is within the rails between Trumpington Park and the station. These buses have approximately 60 miles/hour and their aren't no seat belts for the passengers and no  rail/fence
325	fairly dissatisfied	Driver needs to give people longer to sit down especially travelling from college with folders / rucksacks it's hard to sit down quickly
326	fairly satisfied	The temperature of the bus, it was a very cold day and the bus wasn't much warmer.
327	fairly satisfied	A bus shelter at the stop in Wilschen just before the school as sometimes this bus is late and waiting in bad weather with kids is not good when it doesn't turn up we have to wait another half an hour.
328	fairly satisfied	Driver to not drive so fast, slow down a bit when people are trying to get off or before.
329	fairly satisfied	Being late meant I had to catch a later ferry.
330	fairly satisfied	Stop people putting bags on chairs and away from the window, so you can't sit next to them.
331	fairly satisfied	Update bus also weekend timetable on night time for getting back to Blyth
332	neither satisfied nor dissatisfied	Slot duplicate bus in on journey's that company know are going to get hit with heavy congestion at peak times.
333	fairly satisfied	Our 42/42A bus used to start from High Street in town centre which was very convenient for old  people but the bus station is not convenient - it is difficult to access. I have asthma,  Bus Station is supposed to be smoke free.
334	neither satisfied nor dissatisfied	The cleanliness of the bus. It did smell a bit. Driver was great, very friendly and helpful. WIFI does not work half the time.
335	neither satisfied nor dissatisfied	More space and to drive quicker.
336	fairly satisfied	This journey was fine, but too often buses on this route depart too early or too late
337	neither satisfied nor dissatisfied	Number 3-4 bus times are really bad.
